sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
131,2,MGS3,1.3796479,2.0725405,0.09440651,-1.8720642,-1.2832067,-0.049576744,2.4156826,-1.9376432,0.41327617,-0.19533716,0.82275546,-0.4464758,1.6935873,0.37789586,-0.15464742,0.644652
132,2,MGS3,1.3233153,1.9850515,-0.7512061,-0.50894207,-0.4167651,1.0462312,-1.4601573,-0.12654391,-0.13459297,0.7046571,0.5961308,0.033986934,-0.24438906,1.1369783,-0.6382638,0.39572555
133,3,MGS4,0.5460607,2.000242,-1.8839442,0.61975205,0.46250787,0.035689056,-0.2533749,-0.50089836,-0.37963557,-0.92056847,0.25782853,-0.096427426,0.13232161,0.40617105,-0.7801894,-0.45730612
134,1,MGS2,-0.1725101,0.43428802,0.021576347,-0.47308296,-1.309128,-0.27016482,1.5283644,0.10434471,-0.5663235,0.23411782,0.79489946,0.22369602,0.908144,0.32999864,-0.95762146,-1.8360925
136,1,MGS2,1.7111583,0.7716521,-0.407898,0.40663692,-1.3583902,-1.2912065,0.45956594,-0.9489105,-0.20222165,-0.5218261,-0.23250969,1.6614043,1.565094,-0.15680341,-0.78892094,-0.67061335
137,0,MGS1,-0.12481981,0.022489991,-1.0026997,-0.21639402,0.1787345,0.35090658,-0.64709264,-0.0058035245,-0.6265252,0.08036858,1.3822271,-1.0116677,0.7976473,-0.30782086,-0.64610314,0.3924086
138,1,MGS2,1.4087521,-1.6850952,1.3130583,-0.2656129,-1.9168099,-0.57388526,2.1132092,0.5436365,0.93491495,-1.0928229,-2.292168,0.2081337,-0.043060824,1.0564667,-0.8278489,-0.7178911
139,0,MGS1,-0.9634292,-1.7399063,-0.06220367,-0.5375675,-0.9265166,0.3330431,1.6871469,-0.11094071,1.543729,-0.5008196,-1.581893,0.4947996,-0.71882266,1.0495688,0.07784027,-1.3935995
141,1,MGS2,0.7161368,-0.21855652,0.52013075,0.54152894,-0.01688744,-0.8491045,1.6660262,-0.43647572,-0.19198278,-0.052306715,-1.0820575,0.33186728,0.63373184,1.6244833,-0.7352991,-0.8313377
142,0,MGS1,0.6317425,-2.438272,0.17256601,-0.5740375,-1.2084528,-0.30296773,1.4255188,2.3605597,-0.8225502,-0.65000635,0.17131163,-0.47359315,-0.93927366,0.7050861,-1.2921134,-1.6604142
