patient_1,patient_2,weight
218,237,0.7038206625921618
335,394,0.7037649393951915
270,509,0.7037575375270864
468,503,0.703561324417064
406,516,0.7035386765864188
6,404,0.7033289498145388
334,452,0.702935557350651
226,420,0.7028437294165705
177,506,0.7025313020880151
139,324,0.7018270317149993
388,389,0.7017592711170422
307,313,0.7016972498640266
17,413,0.7016117077598854
109,518,0.7014814536033009
503,509,0.7013042072938906
163,243,0.7011216913727086
316,377,0.7010510746095404
251,266,0.7010087123327314
302,477,0.7007231588807759
413,415,0.7006921884854989
388,404,0.7006555654497116
266,518,0.7005658843979319
60,417,0.7004684493845781
139,246,0.7004131652890733
405,415,0.7004093019790161
109,388,0.7003474108848942
157,243,0.7002242676483569
178,335,0.7001926316873777
389,518,0.7000593089035387
324,347,0.6995112467708189
17,347,0.6993028578806171
251,347,0.6992169379924351
73,124,0.6991984683164894
162,425,0.6991184266502315
351,516,0.6990902283969307
419,497,0.6989442380283474
243,447,0.6989069723819819
137,503,0.697929223228404
209,477,0.6979008762104202
293,364,0.6976766204981115
251,509,0.6976420231157306
73,416,0.6976039159695144
42,117,0.6975997783709158
178,404,0.6974415234358687
317,447,0.6971711141128031
109,389,0.6970446259153011
414,477,0.696947271726596
447,451,0.6967578319191958
173,311,0.6967400348288608
294,420,0.6966096931822904
142,413,0.6959233545368437
295,307,0.6958078612781824
484,497,0.6957727465112157
320,473,0.6957684568669468
389,499,0.695590286488028
411,497,0.6955381085546304
116,404,0.6954820115795107
364,420,0.6954080968979143
308,364,0.6953429926786888
229,388,0.6952737493974281
46,60,0.6952657066064236
133,526,0.6952269490502558
119,347,0.6951076841236402
270,347,0.6949745875590172
349,354,0.6948171354712784
293,295,0.6946655573569395
280,348,0.6943877868105619
160,232,0.6940881010486079
223,466,0.6940255022805112
415,518,0.6939401586868786
411,473,0.6938434778524992
150,284,0.6933783353310948
266,324,0.6931743508665968
81,288,0.6930727077588821
416,521,0.6930104679794956
308,515,0.6928854906499212
397,416,0.6926229743120693
243,266,0.6925388503666277
153,466,0.6923057055722777
47,320,0.6922408210902724
284,302,0.6921945618427465
2,352,0.6919850677566323
232,452,0.6915460214535019
