"","row","col","weight"
"467","ENSG00000250548","ENSG00000116183",0.766369145641353
"468","ENSG00000135926","ENSG00000131378",0.766339619216426
"469","ENSG00000129675","ENSG00000152583",0.764729358298941
"470","ENSG00000122122","ENSG00000155659",0.764231479043325
"471","ENSG00000101160","ENSG00000150977",0.764210174881571
"472","ENSG00000166928","ENSG00000106066",0.763849500404097
"473","ENSG00000171860","ENSG00000043462",0.76356657385033
"474","ENSG00000129675","ENSG00000244694",0.763120100842582
"475","ENSG00000206337","ENSG00000234745",0.762779299442957
"476","ENSG00000223865","ENSG00000204252",0.762321753627603
"477","ENSG00000162520","ENSG00000110092",0.762165077882191
"478","ENSG00000188501","ENSG00000110092",0.761915379317298
"479","ENSG00000079931","ENSG00000049323",0.76187172793809
"480","ENSG00000240065","ENSG00000204525",0.760896990968342
